show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,9/22/2021,2021,TV-PG,91 min,"Children & Family Movies, Comedies"
s262,Movie,The Secret Diary of an Exchange Student,Bruno Garotti,Brazil,8/18/2021,2021,TV-14,97 min,"Comedies, International Movies, Romantic Movies"
s303,Movie,City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal",Brazil,8/5/2021,2013,TV-MA,69 min,"Documentaries, International Movies"
s651,Movie,O Vendedor de Sonhos,Jayme Monjardim,Brazil,6/22/2021,2016,TV-14,96 min,"Dramas, International Movies"
s784,Movie,Carnaval,Leandro Neri,Brazil,6/2/2021,2021,TV-MA,95 min,"Comedies, International Movies, Music & Musicals"
s967,Movie,Get the Grift,Pedro Antonio,Brazil,4/28/2021,2021,TV-MA,95 min,"Comedies, International Movies"
s1189,Movie,Get the Goat,Vitor Brandt,Brazil,3/18/2021,2021,TV-14,98 min,"Action & Adventure, Comedies, International Movies"
s1404,Movie,Double Dad,Cris D'Amato,Brazil,1/15/2021,2020,TV-G,105 min,"Children & Family Movies, Comedies, Dramas"
s1602,Movie,Just Another Christmas,Roberto Santucci,Brazil,12/3/2020,2020,TV-MA,101 min,"Comedies, International Movies"
s1705,Movie,The Beginning of Life 2: Outside,Renata Terra,Brazil,11/13/2020,2020,TV-PG,92 min,"Documentaries, International Movies"
s1745,Movie,The Beginning of Life,Estela Renner,Brazil,11/3/2020,2016,TV-PG,96 min,"Documentaries, International Movies"
s1799,Movie,Alice Junior,Gil Baroni,Brazil,10/23/2020,2019,TV-MA,87 min,"Comedies, International Movies, LGBTQ Movies"
s2051,Movie,Afonso Padilha: Classless,"Junior Carelli, Rudge Campos",Brazil,9/3/2020,2020,TV-MA,63 min,Stand-Up Comedy
s2198,Movie,Shine Your Eyes,Matias Mariani,Brazil,7/29/2020,2020,TV-MA,103 min,"Dramas, Independent Movies, International Movies"
s2303,Movie,Thiago Ventura: POKAS,"Fabio Ock, Joana Mazzucchelli",Brazil,7/2/2020,2020,TV-MA,82 min,Stand-Up Comedy
